case,created_at,amount,risk_score,user_account_aggregate_order_count,merchant
524971074,04/01/2018,$127,56.26,1,7625
521601244,01/01/2018,$1.36,68.4,622,12650
531692510,11/01/2018,$49.23,92.11,1,3573
527906174,07/01/2018,$4,55.03,3,7625
540812147,20/01/2018,$1,54.62,1,7625
543922617,24/01/2018,$83.73,84.23,3,7625
544432646,24/01/2018,$26,96.73,1,7625
543865270,24/01/2018,$8.48,80.01,2,7625
530775878,10/01/2018,$1353.38,72.03,,4437
535326470,15/01/2018,$8.44,70.47,11,7625
536267239,16/01/2018,$223.5,78.08,3,7625
527216196,06/01/2018,$2,51.41,5,7625
541747493,21/01/2018,$6.41,98.78,4,7625
538730662,18/01/2018,$38,99.84,2,7863
538202035,18/01/2018,$19.55,92.34,1,7625
535978561,15/01/2018,$1,94.17,1,7625
546216679,26/01/2018,$1465.44,57.17,,4437
546656851,27/01/2018,$31.48,72.59,1,7625
546144591,26/01/2018,$125,56.64,,8886
546959361,27/01/2018,$13.92,70.98,6,7625
552772392,28/01/2018,$26,70.92,18,7625
533483192,13/01/2018,$59.2,89.71,2,7625
528501141,08/01/2018,$88.13,74.48,,8886
552777349,29/01/2018,$5.55,67.42,2,7625
543870868,24/01/2018,$92.95,67.83,1,7625
529339787,09/01/2018,$14.6,94.05,1,7625
534518849,14/01/2018,$192.13,70.74,2,7625
534587180,14/01/2018,$31.2,57.36,1,7625
539349391,14/01/2018,$16.22,51.75,6,7625
548751887,29/01/2018,$1,86.84,1,7625
523649828,03/01/2018,$3.27,54.31,1,7625
540056695,20/01/2018,$30,59.93,27,7625
533525654,13/01/2018,$9,69.12,1,7625
538519590,18/01/2018,$33,57.31,1,7625
548411473,29/01/2018,$13,74.6,1,7625
525642308,01/01/2018,$39,78.83,8,7625
552785268,29/01/2018,$2,88.35,18,7625
531884007,11/01/2018,$554,52.63,,8886
538530088,18/01/2018,$360.78,61.23,1,7625
531961075,11/01/2018,$12.25,92.91,1,7625
530099880,09/01/2018,$52.11,78.26,3,7625
529504864,09/01/2018,$742.92,56.72,,8886
546346055,26/01/2018,$21,74.35,1,7625
535366209,15/01/2018,$8.56,98.02,1,7625
528396351,08/01/2018,$12,54.54,4,7625
531208196,11/01/2018,$2,94.46,1,7625
522975899,02/01/2018,$178,73.44,,8886
521601257,01/01/2018,$3.76,69.5,622,12650
525864532,05/01/2018,$6.97,95.86,37,7625
521598769,01/01/2018,$32,54.94,4,7625
531770855,11/01/2018,$13,62.32,3,7625
541281780,21/01/2018,$13.3,80.24,2,7625
531968653,11/01/2018,$100.7,64.57,1,7625
527297733,07/01/2018,$1040,59.07,,8886
531734789,11/01/2018,$8,94.58,4,7625
531411190,11/01/2018,$8,87.94,1,7625
544265108,24/01/2018,$1,94.7,1,7625
534487550,14/01/2018,$65.7,69.24,2,7625
533603268,13/01/2018,$2.07,75.34,1,7625
531977689,11/01/2018,$1.24,57.73,1,7625
523179357,03/01/2018,$19,71.58,1,7625
528407895,08/01/2018,$2.43,66.37,1,7625
547104277,27/01/2018,$6.76,53.01,3,7625
522407289,02/01/2018,$17.6,81.25,1,7625
