case,created_at,amount,risk_score,user_account_aggregate_order_count,merchant
534091060,2018-01-13,4.00,26.83,3,7625
547682586,2018-01-28,9.00,45.58,175,8743
523859635,2018-01-03,8.91,43.32,1,7625
534381820,2018-01-14,14.00,46.19,67,8743
527353078,2018-01-07,4.00,49.08,210,8743
528416764,2018-01-08,12.55,49.78,64,7625
535546891,2018-01-15,8.00,49.81,44,8743
522013417,2018-01-01,9.00,45.81,6,8743
548514004,2018-01-29,15.00,49.27,26,8743
529002673,2018-01-08,21.68,49.25,1,15252
547686377,2018-01-28,31.00,43.28,11,8743
538840799,2018-01-18,1219.00,44.50,,1857
538916027,2018-01-18,5.14,24.34,5,7625
536199733,2018-01-16,22.00,45.38,5,8743
540934315,2018-01-21,5.00,21.87,5,7625
525338057,2018-01-05,27.00,42.15,357,7625
521458294,2018-01-01,7.00,45.55,17,7625
534539100,2018-01-14,2.00,47.44,45,7625
544064426,2018-01-24,3.70,49.91,10,7625
538605694,2018-01-18,2.00,40.34,10,7625
526441881,2018-01-06,20.95,45.71,17,14731
526672008,2018-01-06,391.48,45.75,,8886
542750870,2018-01-22,16.86,29.89,4,7625
544087500,2018-01-24,17.44,34.33,,8497
548462751,2018-01-29,9.00,47.90,249,8743
541000796,2018-01-21,32.50,32.78,0,5195
534659724,2018-01-14,399.00,28.42,0,5195
540510497,2018-01-20,23.26,27.83,1,7625
547759343,2018-01-28,7.00,47.92,53,8743
522109641,2018-01-01,6.26,28.91,14,7625
525773262,2018-01-05,16.00,44.05,112,8743
538226406,2018-01-18,576.00,42.76,,155
530568445,2018-01-10,45.60,23.97,6,7625
547957518,2018-01-28,4.00,26.06,2,7625
524083385,2018-01-03,2.00,27.06,4,7625
548588242,2018-01-29,12.00,28.31,8,7625
535302895,2018-01-15,9.00,46.56,34,8743
534304844,2018-01-14,4.00,40.76,7,7625
524823714,2018-01-04,9.00,49.14,1005,8743
526603019,2018-01-06,11.00,29.53,2,7625
533305158,2018-01-13,12.00,44.89,6,7625
538142612,2018-01-18,12.86,47.36,29,14731
525474542,2018-01-05,2.00,48.47,20,7625
530114583,2018-01-09,30.48,27.54,1,7625
541539856,2018-01-21,12.00,48.95,10,8743
541901465,2018-01-22,9.00,48.56,14,8743
540047581,2018-01-20,17.35,25.17,13,7625
548915802,2018-01-29,7.00,42.46,17,8743
538434726,2018-01-18,3.40,28.50,3,7625
541003259,2018-01-21,38.00,41.88,10,7625
535985688,2018-01-15,9.00,43.90,7,8743
535329862,2018-01-15,10.00,44.18,37,8743
549590673,2018-01-29,4.00,22.67,5,7625
531203026,2018-01-11,25.00,25.46,1,7625
539285251,2018-01-19,1.95,49.07,7,7625
523104438,2018-01-03,6.39,46.46,6,7625
537815768,2018-01-17,55.00,49.32,28,8743
524398623,2018-01-04,670.00,45.31,,2001723
549054471,2018-01-29,92.00,29.47,11,7625
531507406,2018-01-11,21.19,28.44,1,7625
534096598,2018-01-13,7.60,25.52,5,7625
540937596,2018-01-21,2.00,47.53,15,7625
536209026,2018-01-16,22.96,29.91,8,7625
543755433,2018-01-24,23.00,28.92,2,7625
524425587,2018-01-04,114.00,27.73,38,6189
902508100,2018-01-24,724.99,32.19,,2007014
548921742,2018-01-29,6.00,23.42,2,7625
535368247,2018-01-15,3.97,28.33,6,7625
534703900,2018-01-14,514.00,40.50,,4483
542748463,2018-01-22,26.00,27.58,24,7625
537437485,2018-01-17,21.00,29.94,4,7625
902048590,2018-01-08,538.00,36.86,,2007014
531747215,2018-01-11,9.00,47.85,10,8743
522110517,2018-01-01,10.48,46.88,5,7625
540758471,2018-01-20,6.01,21.09,5,7625
535935820,2018-01-15,369.94,46.96,,155
531178314,2018-01-11,1.95,49.68,13,7625
543991048,2018-01-24,43.86,42.14,,14831
541279262,2018-01-21,4.00,48.49,80,7625
529378727,2018-01-09,7.00,49.56,21,8743
541596335,2018-01-21,13.30,21.64,4,7625
537151470,2018-01-17,2.00,32.90,12172,2209
521614514,2018-01-01,3.12,47.33,15,7625
534215436,2018-01-14,4.00,48.17,11,8743
533661506,2018-01-13,4.00,27.93,3,7625
531186790,2018-01-11,163.00,28.66,2,7625
548904648,2018-01-29,30.33,28.67,2,7625
521462268,2018-01-01,5.00,49.27,321,8743
541904391,2018-01-22,11.60,45.75,9,7625
